cpu_temp0c0,cpu_freq0c0,cpu_temp0c1,cpu_freq0c1,cpu_temp0c2,cpu_freq0c2,cpu_temp0c3,cpu_freq0c3,cpu_temp0c4,cpu_freq0c4,cpu_temp0c5,cpu_freq0c5,cpu_temp0c6,cpu_freq0c6,cpu_temp0c7,cpu_freq0c7,cpu_temp0c8,cpu_freq0c8,cpu_temp0c9,cpu_freq0c9,cpu_temp0c10,cpu_freq0c10,cpu_temp0c11,cpu_freq0c11,cpu_temp0c12,cpu_freq0c12,cpu_temp0c13,cpu_freq0c13,cpu_temp0c14,cpu_freq0c14,cpu_temp0c15,cpu_freq0c15,cpu_temp0c16,cpu_freq0c16,cpu_temp0c17,cpu_freq0c17,cpu_temp0c18,cpu_freq0c18,cpu_temp0c19,cpu_freq0c19,cpu_temp0c20,cpu_freq0c20,cpu_temp0c21,cpu_freq0c21,cpu_temp0c22,cpu_freq0c22,cpu_temp0c23,cpu_freq0c23,cpu_temp0c24,cpu_freq0c24,cpu_temp0c25,cpu_freq0c25,cpu_temp0c26,cpu_freq0c26,cpu_temp0c27,cpu_freq0c27,cpu_temp0c28,cpu_freq0c28,cpu_temp0c29,cpu_freq0c29,cpu_temp0c30,cpu_freq0c30,cpu_temp0c31,cpu_freq0c31,tmon_soc_avg0,freq_mem_net0,v_core0,v_sram0,v_mem0,v_soc0,pwr_core0,pwr_sram0,pwr_mem0,pwr_soc0,thrott_cause0,temp_thrott_cnt0,pwr_thrott_cnt0,ext_thrott_cnt0,temp_thrott_dur0,pwr_thrott_dur0,ext_thrott_dur0,cpu_temp1c0,cpu_freq1c0,cpu_temp1c1,cpu_freq1c1,cpu_temp1c2,cpu_freq1c2,cpu_temp1c3,cpu_freq1c3,cpu_temp1c4,cpu_freq1c4,cpu_temp1c5,cpu_freq1c5,cpu_temp1c6,cpu_freq1c6,cpu_temp1c7,cpu_freq1c7,cpu_temp1c8,cpu_freq1c8,cpu_temp1c9,cpu_freq1c9,cpu_temp1c10,cpu_freq1c10,cpu_temp1c11,cpu_freq1c11,cpu_temp1c12,cpu_freq1c12,cpu_temp1c13,cpu_freq1c13,cpu_temp1c14,cpu_freq1c14,cpu_temp1c15,cpu_freq1c15,cpu_temp1c16,cpu_freq1c16,cpu_temp1c17,cpu_freq1c17,cpu_temp1c18,cpu_freq1c18,cpu_temp1c19,cpu_freq1c19,cpu_temp1c20,cpu_freq1c20,cpu_temp1c21,cpu_freq1c21,cpu_temp1c22,cpu_freq1c22,cpu_temp1c23,cpu_freq1c23,cpu_temp1c24,cpu_freq1c24,cpu_temp1c25,cpu_freq1c25,cpu_temp1c26,cpu_freq1c26,cpu_temp1c27,cpu_freq1c27,cpu_temp1c28,cpu_freq1c28,cpu_temp1c29,cpu_freq1c29,cpu_temp1c30,cpu_freq1c30,cpu_temp1c31,cpu_freq1c31,tmon_soc_avg1,freq_mem_net1,v_core1,v_sram1,v_mem1,v_soc1,pwr_core1,pwr_sram1,pwr_mem1,pwr_soc1,thrott_cause1,temp_thrott_cnt1,pwr_thrott_cnt1,ext_thrott_cnt1,temp_thrott_dur1,pwr_thrott_dur1,ext_thrott_dur1
51.64,2207,49.96,2207,47.17,2205,50.52,2207,50.52,2206,50.52,2207,48.85,2202,47.73,2207,51.64,2205,49.41,2205,49.41,2201,51.64,2202,48.85,2207,48.85,2206,48.85,2203,48.29,2206,49.41,2204,48.85,2203,50.52,2200,49.41,2205,49.96,2203,51.08,2204,48.29,2201,49.41,2201,51.08,2202,53.31,2202,51.64,2208,49.96,2207,49.41,2202,48.29,2205,49.96,2201,44.94,2208,50.52,2304,0.75,0.90,0.93,0.85,27.01,0.54,15.12,17.34,    0,    0,2622752,    0,    0,458322749,    0,44.38,2137,46.61,2140,42.71,2137,47.73,2137,46.61,2140,44.94,2136,47.17,2139,44.94,2136,46.61,2135,46.06,2137,45.50,2139,46.06,2138,44.38,2135,46.61,2138,46.06,2139,45.50,2133,46.06,2136,46.61,2141,47.17,2138,46.61,2137,45.50,2137,44.94,2141,46.06,2135,46.06,2138,43.26,2135,44.94,2133,46.06,2141,43.82,2138,47.73,2137,45.50,2138,46.06,2140,46.06,2140,47.73,2304,0.73,0.90,0.93,0.85,22.74,0.09,14.58,15.81,    2,    0,466562,    0,    0,116852879,    0
50.52,2207,50.52,2207,48.29,2205,50.52,2207,50.52,2206,49.96,2207,49.96,2202,47.73,2207,51.64,2205,49.41,2205,48.85,2201,50.52,2202,47.73,2207,48.29,2206,48.85,2203,46.61,2206,49.41,2204,50.52,2203,50.52,2200,48.85,2205,50.52,2203,51.08,2204,50.52,2201,49.41,2201,49.41,2202,53.31,2202,51.08,2208,48.85,2207,49.96,2202,47.73,2205,48.85,2201,46.61,2208,51.08,2304,0.75,0.90,0.93,0.85,27.38,0.72,15.12,17.43,    0,    0,2622752,    0,    0,458322749,    0,44.94,2205,46.61,2208,43.82,2205,47.17,2204,46.61,2208,43.82,2204,48.29,2207,45.50,2204,47.17,2203,44.94,2204,46.61,2207,46.61,2206,44.94,2203,47.17,2206,46.61,2207,46.06,2201,46.61,2203,47.17,2200,47.73,2206,47.73,2205,45.50,2205,45.50,2200,47.17,2203,45.50,2206,43.26,2203,45.50,2201,47.73,2200,44.38,2206,48.85,2204,47.17,2206,46.61,2208,47.17,2207,49.41,2304,0.75,0.90,0.93,0.85,25.21,0.27,14.67,15.81,    0,    0,466562,    0,    0,116853204,    0
51.64,2207,49.96,2207,47.73,2205,50.52,2207,51.64,2206,49.96,2207,49.41,2202,48.29,2207,51.64,2205,49.41,2205,50.52,2201,51.08,2202,47.73,2207,48.29,2206,49.96,2203,46.61,2206,48.85,2204,49.41,2203,51.08,2200,49.41,2205,50.52,2203,51.08,2204,48.29,2201,49.96,2201,49.41,2202,52.75,2202,51.64,2208,49.41,2207,49.96,2202,48.29,2205,49.41,2201,45.50,2208,49.96,2304,0.75,0.90,0.93,0.85,27.45,0.09,15.20,17.43,    0,    0,2622752,    0,    0,458322749,    0,45.50,2205,47.17,2208,43.26,2205,47.17,2204,46.61,2208,45.50,2204,47.17,2207,46.06,2204,47.17,2203,44.94,2204,46.06,2207,45.50,2206,44.94,2203,46.61,2206,46.06,2207,45.50,2201,46.61,2203,45.50,2200,48.29,2206,48.29,2205,45.50,2205,45.50,2200,47.17,2203,45.50,2206,43.82,2203,45.50,2201,47.17,2200,43.82,2206,48.29,2204,46.61,2206,46.06,2208,46.06,2207,48.85,2304,0.75,0.90,0.93,0.85,25.43,0.27,14.48,15.81,    0,    0,466562,    0,    0,116853204,    0
51.08,2207,49.96,2207,47.73,2205,51.08,2207,50.52,2206,51.08,2207,49.41,2202,47.17,2207,50.52,2205,49.41,2205,49.41,2201,50.52,2202,48.29,2207,49.41,2206,49.96,2203,46.61,2206,49.96,2204,48.85,2203,50.52,2200,49.96,2205,48.85,2203,49.96,2204,49.96,2201,49.96,2201,48.29,2202,50.52,2202,49.96,2208,49.96,2207,50.52,2202,48.29,2205,49.41,2201,46.61,2208,50.52,2304,0.75,0.90,0.93,0.85,27.67,0.63,15.12,17.43,    0,    0,2622752,    0,    0,458322749,    0,44.94,2205,46.61,2208,42.71,2205,47.73,2204,47.73,2208,46.06,2204,47.17,2207,46.06,2204,48.29,2203,46.06,2204,45.50,2207,46.06,2206,45.50,2203,46.06,2206,46.06,2207,45.50,2201,47.73,2203,48.29,2200,47.17,2206,47.73,2205,44.94,2205,46.06,2200,46.06,2203,46.61,2206,43.82,2203,45.50,2201,47.17,2200,44.94,2206,48.29,2204,46.06,2206,46.61,2208,47.17,2207,48.29,2304,0.75,0.90,0.93,0.85,25.58,0.00,14.67,15.81,    0,    0,466562,    0,    0,116853204,    0
49.96,2207,51.08,2207,48.29,2205,49.96,2207,52.20,2206,51.08,2207,48.85,2202,47.73,2207,51.08,2205,49.96,2205,48.85,2201,52.20,2202,48.85,2207,49.41,2206,49.41,2203,47.17,2206,49.41,2204,49.41,2203,51.64,2200,49.96,2205,49.96,2203,50.52,2204,49.41,2201,50.52,2201,48.29,2202,53.31,2202,50.52,2208,49.96,2207,50.52,2202,48.29,2205,48.85,2201,46.61,2208,51.08,2304,0.75,0.90,0.93,0.85,27.08,0.18,15.20,17.43,    0,    0,2622752,    0,    0,458322749,    0,45.50,2205,47.73,2208,43.26,2205,47.17,2204,46.61,2208,44.38,2204,47.17,2207,45.50,2204,48.85,2203,46.06,2204,46.06,2207,44.94,2206,45.50,2203,46.06,2206,46.06,2207,46.06,2201,46.06,2203,47.17,2200,47.73,2206,48.85,2205,45.50,2205,46.61,2200,46.61,2203,46.61,2206,43.26,2203,45.50,2201,46.06,2200,44.38,2206,48.85,2204,44.94,2206,47.17,2208,47.17,2207,48.85,2304,0.75,0.90,0.93,0.85,25.66,0.27,14.67,15.81,    0,    0,466562,    0,    0,116853204,    0
50.52,2207,50.52,2207,48.85,2205,50.52,2207,52.20,2206,50.52,2207,49.41,2202,48.29,2207,53.31,2205,49.41,2205,49.41,2201,51.64,2202,49.41,2207,48.29,2206,49.96,2203,47.17,2206,48.85,2204,49.41,2203,51.64,2200,49.41,2205,49.96,2203,51.08,2204,48.85,2201,49.41,2201,48.85,2202,52.75,2202,51.08,2208,50.52,2207,49.41,2202,49.41,2205,49.41,2201,46.06,2208,49.96,2304,0.75,0.90,0.93,0.85,27.67,0.09,15.47,17.43,    0,    0,2622752,    0,    0,458322749,    0,46.06,2205,48.29,2208,42.71,2205,47.17,2204,47.73,2208,45.50,2204,47.17,2207,44.94,2204,48.85,2203,46.06,2204,46.61,2207,45.50,2206,46.61,2203,46.06,2206,46.06,2207,46.61,2201,47.73,2203,46.61,2200,47.17,2206,47.73,2205,45.50,2205,44.94,2200,47.17,2203,46.61,2206,44.38,2203,44.94,2201,47.73,2200,44.38,2206,48.85,2204,46.61,2206,46.61,2208,46.61,2207,48.85,2304,0.75,0.90,0.93,0.85,25.07,0.27,14.76,15.81,    0,    0,466562,    0,    0,116853204,    0
51.64,2207,49.96,2207,48.85,2205,51.64,2207,51.64,2206,49.41,2207,49.41,2202,48.29,2207,52.20,2205,51.08,2205,49.41,2201,51.08,2202,49.41,2207,47.17,2206,49.96,2203,47.17,2206,48.85,2204,48.85,2203,50.52,2200,49.41,2205,49.41,2203,51.64,2204,49.96,2201,50.52,2201,48.85,2202,52.75,2202,50.52,2208,49.41,2207,50.52,2202,48.29,2205,49.96,2201,46.61,2208,50.52,2304,0.75,0.90,0.93,0.85,27.67,0.72,15.20,17.43,    0,    0,2622752,    0,    0,458322749,    0,44.38,2205,47.73,2208,43.26,2205,48.29,2204,46.61,2208,45.50,2204,48.29,2207,44.38,2204,48.85,2203,46.06,2204,46.06,2207,46.61,2206,44.94,2203,46.06,2206,47.17,2207,46.06,2201,46.61,2203,47.73,2200,48.85,2206,47.17,2205,46.06,2205,44.94,2200,45.50,2203,45.50,2206,44.38,2203,44.38,2201,47.17,2200,43.82,2206,48.85,2204,46.06,2206,47.73,2208,46.61,2207,48.85,2304,0.75,0.90,0.93,0.85,25.58,0.00,14.76,15.81,    0,    0,466562,    0,    0,116853204,    0
50.52,2207,50.52,2207,47.73,2205,51.64,2207,49.96,2206,51.64,2207,49.41,2202,48.29,2207,50.52,2205,49.41,2205,48.85,2201,51.08,2202,48.85,2207,50.52,2206,49.41,2203,46.61,2206,50.52,2204,49.96,2203,51.08,2200,49.96,2205,50.52,2203,52.75,2204,48.85,2201,49.96,2201,49.41,2202,52.75,2202,51.08,2208,49.41,2207,49.41,2202,47.73,2205,49.96,2201,47.17,2208,51.08,2304,0.75,0.90,0.93,0.85,27.85,0.54,15.12,17.43,    0,    0,2622752,    0,    0,458322749,    0,43.82,2205,47.17,2208,43.26,2205,47.17,2204,47.73,2208,44.38,2204,48.29,2207,45.50,2204,47.17,2203,46.61,2204,47.17,2207,46.06,2206,46.06,2203,46.61,2206,47.73,2207,46.06,2201,45.50,2203,48.29,2200,48.29,2206,47.73,2205,45.50,2205,46.06,2200,46.61,2203,46.61,2206,43.82,2203,44.38,2201,47.73,2200,45.50,2206,48.29,2204,46.06,2206,48.29,2208,47.17,2207,49.96,2304,0.75,0.90,0.93,0.85,25.66,0.00,14.67,15.81,    0,    0,466562,    0,    0,116853204,    0
51.64,2207,51.08,2207,48.29,2205,51.08,2207,51.64,2206,51.08,2207,49.41,2202,48.29,2207,50.52,2205,49.96,2205,48.85,2201,52.20,2202,49.41,2207,48.85,2206,48.85,2203,47.17,2206,48.85,2204,48.29,2203,52.20,2200,50.52,2205,49.96,2203,51.08,2204,49.96,2201,49.96,2201,51.08,2202,53.31,2202,51.08,2208,49.41,2207,48.85,2202,48.29,2205,49.41,2201,46.06,2208,50.52,2304,0.75,0.90,0.93,0.85,27.78,0.72,15.12,17.43,    0,    0,2622752,    0,    0,458322749,    0,44.94,2205,47.17,2208,43.26,2205,47.73,2204,46.06,2208,44.94,2204,47.73,2207,45.50,2204,47.73,2203,46.61,2204,46.06,2207,47.17,2206,46.06,2203,46.61,2206,46.61,2207,47.17,2201,46.61,2203,47.73,2200,47.73,2206,48.29,2205,45.50,2205,46.06,2200,47.17,2203,46.61,2206,44.38,2203,46.06,2201,47.17,2200,44.94,2206,47.73,2204,46.06,2206,47.73,2208,47.17,2207,48.85,2304,0.75,0.90,0.93,0.85,25.80,0.00,14.58,15.81,    0,    0,466562,    0,    0,116853204,    0
52.20,2207,51.08,2207,48.85,2205,51.64,2207,51.64,2206,50.52,2207,49.96,2202,48.85,2207,52.20,2205,50.52,2205,49.96,2201,51.64,2202,49.41,2207,49.41,2206,49.96,2203,47.17,2206,49.96,2204,51.08,2203,52.75,2200,49.96,2205,49.96,2203,51.08,2204,49.41,2201,49.96,2201,49.41,2202,52.75,2202,51.08,2208,49.96,2207,49.41,2202,48.29,2205,50.52,2201,46.61,2208,52.20,2304,0.75,0.90,0.93,0.85,27.23,0.18,15.20,17.43,    0,    0,2622752,    0,    0,458322749,    0,45.50,2205,47.73,2208,43.26,2205,48.29,2204,47.17,2208,46.06,2204,47.73,2207,45.50,2204,48.29,2203,47.73,2204,46.06,2207,46.61,2206,46.06,2203,46.06,2206,47.17,2207,46.06,2201,46.06,2203,48.29,2200,48.85,2206,48.29,2205,45.50,2205,46.06,2200,47.17,2203,46.61,2206,42.71,2203,45.50,2201,47.73,2200,44.38,2206,48.85,2204,46.06,2206,46.61,2208,47.17,2207,48.85,2304,0.75,0.90,0.93,0.85,25.00,0.00,14.67,15.81,    0,    0,466562,    0,    0,116853204,    0
